"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"San Diego County, CA"	"06073"	"Male"	"M"	"1991"	"1991"	"20-24 years"	"20-24"	147	145780	100.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1991"	"1991"	"25-34 years"	"25-34"	508	267520	189.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1991"	"1991"	"35-44 years"	"35-44"	680	200362	339.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"1991"	"1991"	"45-54 years"	"45-54"	571	111446	512.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"1991"	"1991"	"55-64 years"	"55-64"	1016	82447	1232.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1991"	"1991"	"65-74 years"	"65-74"	2067	73226	2822.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1991"	"1991"	"75-84 years"	"75-84"	2311	35492	6511.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1991"	"1991"	"85+ years"	"85+"	1273	7771	16381.4
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1991"	"1991"			8684	1015367	855.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1992"	"1992"	"15-19 years"	"15-19"	91	89964	101.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"1992"	"1992"	"20-24 years"	"20-24"	129	141635	91.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1992"	"1992"	"25-34 years"	"25-34"	486	268086	181.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1992"	"1992"	"35-44 years"	"35-44"	675	205002	329.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1992"	"1992"	"45-54 years"	"45-54"	626	120921	517.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1992"	"1992"	"55-64 years"	"55-64"	1068	82911	1288.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1992"	"1992"	"65-74 years"	"65-74"	2092	73118	2861.1
